Product Name,Product Price,Product Image
JoyStick Double Shock Wired USB 2.0 Multi Colour Fancy Gamepad Joystick Joypad Game Controller Pad For PC Laptop Computer For Win7/8/10 XP, 599  ,"https://pk.daraz.io/uUwvd-6D2BsNbMG3mYdI8zWQE1o=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/70/64848/1.jpg?9349"
Sades SA810 3.5mm Stereo PS4/Xbox One/Computer/phones Over Ear Gaming Headphone - Camouflage," 3,499  ","https://pk.daraz.io/2YL12DBjPOgiHMxlHNdM-wLYKRw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/53/34158/1.jpg?6767"
"ZornWee Wireless Fashion Mouse 2.4G,Black", 599  ,"https://pk.daraz.io/HMBHWXTPk4orwFEIiQzVhobu-DA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/98/42838/1.jpg?5221"
Elasticity Office Computer Side Arm Chair Cover, 479  ,"https://pk.daraz.io/EFdYL--ojtPpzg6KpO95I_B21wg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/60/56738/1.jpg?7913"
320 GB external hard drive for PC and Laptop," 3,300  ","https://pk.daraz.io/1D-BGonha7pgQuha_c4KHfq3JBw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/96/50848/1.jpg?5246"
YONTEX - USB 3.0 Charge and Sync Data Cord for iPhone iPad," 1,299  ","https://pk.daraz.io/3sKXgsiUpUnoqWJPi1E6B85Xc24=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/27/05538/1.jpg?3321"
Desktop Computer 6200 Intel Core i3 2nd Gen 2120 (3.1 GHz) 8 GB 1TB HDD Windows 10 Professional - Certified Pc," 17,890  ","https://pk.daraz.io/6WOLrOoDYF0CJR_Ura32seB0OwM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/58/51748/1.jpg?0192"
Elastic Fabric Office Computer Chair Cover - Black, 312  ,"https://pk.daraz.io/Q3Qss9crpY32yXe7AOHRZs8qr0U=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/74/85738/1.jpg?6023"
KTV Karaoke Mixer Dual Wireless Microphone Set," 8,999  ","https://pk.daraz.io/mPYuZFFG--US1kiVPakJ4U-gTfU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/66/71338/1.jpg?3849"
4 Port USB Hub - 2.0 - Black (with 1 months warranty), 139  ,"https://pk.daraz.io/UVnM8Sn_DBDJUxpdpJGBQuz6KE8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/71/60848/1.jpg?5249"
USB Printer Cable 1.5 meter for Computer and other Devices, 100  ,"https://pk.daraz.io/wZRUheM8JbG23AEH_zQDClQSC4o=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/32/36638/1.jpg?8149"
Computer Networking With Internet Protocols And Technology (Pb)," 1,104  ","https://pk.daraz.io/IkbSyH0-fl0_bDo8P8s7JLQHeXk=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/88/42108/1.jpg?3941"
Computer And Communication Networks (Pb)," 1,041  ","https://pk.daraz.io/c6S3InQe6t7AeU04k8edVN4T20A=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/26/68008/1.jpg?3653"
Gochange - Wire Ferrule Crimp Tool Square Crimp," 1,499  ","https://pk.daraz.io/iYZDlXW9SpL8zTrs-lg7zuFK7TM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/52/00068/1.jpg?0652"
Molain - Electric Spin Spa B Long Handle Bath Brush With 3 Spare Brush Heads," 3,999  ","https://pk.daraz.io/pHXMYRffYOTZRX-IOImY6uwTQGA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/02/00068/1.jpg?0654"
